topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms,_id,source
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2244507}",2025-09-02 07:01:11.736165+00:00,0.1831,0.061,-0.4883,2244507,68b69637125e75235a2434fd,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2246507}",2025-09-02 07:01:14.406791+00:00,0.2441,0.061,-0.4883,2246507,68b6963a125e75235a2434fe,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2247507}",2025-09-02 07:01:15.020038+00:00,0.1831,0.0,-0.4883,2247507,68b6963b125e75235a2434ff,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2253507}",2025-09-02 07:01:20.882408+00:00,0.1831,0.0,-0.4883,2253507,68b69640125e75235a243502,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2254507}",2025-09-02 07:01:21.791981+00:00,0.2441,0.0,-0.4883,2254507,68b69641125e75235a243503,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2255507}",2025-09-02 07:01:23.041168+00:00,0.1831,0.061,-0.4883,2255507,68b69643125e75235a243504,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2257507}",2025-09-02 07:01:25.448977+00:00,0.2441,0.0,-0.5493,2257507,68b69645125e75235a243505,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2258507}",2025-09-02 07:01:25.831100+00:00,0.1831,0.061,-0.4883,2258507,68b69645125e75235a243506,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2262507}",2025-09-02 07:01:29.958866+00:00,0.2441,0.0,-0.4883,2262507,68b69649125e75235a243508,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2263507}",2025-09-02 07:01:30.791123+00:00,0.2441,0.061,-0.5493,2263507,68b6964a125e75235a243509,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2265507}",2025-09-02 07:01:32.850466+00:00,0.1831,0.0,-0.4883,2265507,68b6964c125e75235a24350a,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2270507}",2025-09-02 07:01:37.539544+00:00,0.2441,0.0,-0.4883,2270507,68b69651125e75235a24350c,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2271507}",2025-09-02 07:01:38.932366+00:00,0.1831,0.0,-0.5493,2271507,68b69652125e75235a24350d,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2273507}",2025-09-02 07:01:40.819610+00:00,0.1831,0.061,-0.5493,2273507,68b69654125e75235a24350f,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2277507}",2025-09-02 07:01:45.309983+00:00,0.1831,0.0,-0.4883,2277507,68b69659125e75235a243511,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2278507}",2025-09-02 07:01:45.514246+00:00,0.1831,0.0,-0.4883,2278507,68b69659125e75235a243512,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2280507}",2025-09-02 07:01:47.568803+00:00,0.2441,0.0,-0.5493,2280507,68b6965b125e75235a243514,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2285507}",2025-09-02 07:01:52.741350+00:00,0.2441,0.0,-0.5493,2285507,68b69660125e75235a243516,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2286507}",2025-09-02 07:01:53.706857+00:00,0.2441,0.0,-0.5493,2286507,68b69661125e75235a243517,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2287507}",2025-09-02 07:01:54.740961+00:00,0.1831,0.061,-0.4883,2287507,68b69662125e75235a243518,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2288507}",2025-09-02 07:01:55.765190+00:00,0.1831,0.0,-0.4883,2288507,68b69663125e75235a243519,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2292507}",2025-09-02 07:01:59.860650+00:00,0.2441,0.061,-0.4883,2292507,68b69667125e75235a24351b,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2293507}",2025-09-02 07:02:00.669060+00:00,0.2441,0.061,-0.4883,2293507,68b69668125e75235a24351c,tinydb
sit225/gyroscope,"{""gx"":0.3662,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2295507}",2025-09-02 07:02:02.724780+00:00,0.3662,0.061,-0.4883,2295507,68b6966a125e75235a24351d,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2299507}",2025-09-02 07:02:07.032662+00:00,0.1831,0.0,-0.4883,2299507,68b6966f125e75235a24351f,tinydb
sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2300507}",2025-09-02 07:02:07.445237+00:00,0.1221,0.061,-0.4883,2300507,68b6966f125e75235a243520,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2302507}",2025-09-02 07:02:09.699916+00:00,0.1831,0.0,-0.4883,2302507,68b69671125e75235a243521,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2303507}",2025-09-02 07:02:10.723971+00:00,0.2441,0.0,-0.5493,2303507,68b69672125e75235a243522,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2307507}",2025-09-02 07:02:14.810487+00:00,0.2441,0.0,-0.5493,2307507,68b69676125e75235a243524,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2309507}",2025-09-02 07:02:16.853472+00:00,0.1831,0.061,-0.4883,2309507,68b69678125e75235a243526,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4272,""t_device_ms"":2313507}",2025-09-02 07:02:20.853637+00:00,0.1831,0.0,-0.4272,2313507,68b6967c125e75235a243528,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2314507}",2025-09-02 07:02:21.771561+00:00,0.1831,0.0,-0.4883,2314507,68b6967d125e75235a243529,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2316507}",2025-09-02 07:02:23.822217+00:00,0.1831,0.061,-0.4883,2316507,68b6967f125e75235a24352a,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2318507}",2025-09-02 07:02:25.864283+00:00,0.2441,0.0,-0.4883,2318507,68b69681125e75235a24352b,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2320507}",2025-09-02 07:02:27.916351+00:00,0.2441,0.0,-0.5493,2320507,68b69683125e75235a24352d,tinydb
