time,value
2025-09-09T03:13:52.847897659Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:53.874848356Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:54.872894345Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:55.899069182Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:56.907206544Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:57.90894023Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:58.924964804Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:59.928072679Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:14:00.997047477Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:14:01.991778451Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:02.986727606Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:04.016957312Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:04.996200067Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:06.026988288Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:07.057926911Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:08.064764614Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:09.072234507Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:10.069778058Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:11.087045951Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:12.087776726Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:13.114634811Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:14.139543544Z,"{""lat"":-37.8479751,""lon"":145.1142709}"
2025-09-09T03:14:15.159053497Z,"{""lat"":-37.8480133,""lon"":145.1142676}"
2025-09-09T03:14:16.161716807Z,"{""lat"":-37.8480133,""lon"":145.1142676}"
2025-09-09T03:14:17.159037679Z,"{""lat"":-37.8480133,""lon"":145.1142676}"
2025-09-09T03:14:18.174731217Z,"{""lat"":-37.8480133,""lon"":145.1142676}"
2025-09-09T03:14:19.166795056Z,"{""lat"":-37.8480133,""lon"":145.1142676}"
