_id,topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms
68ad6ecd8fa4330d3d2c0d5e,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.1221,""gz"":1.2207,""t_device_ms"":1442265}",2025-08-26T08:22:37.007097+00:00,0.1221,0.1221,1.2207,1442265
68ad6ece8fa4330d3d2c0d5f,sit225/gyroscope,"{""gx"":0.2441,""gy"":1.0986,""gz"":0.6104,""t_device_ms"":1443265}",2025-08-26T08:22:38.519910+00:00,0.2441,1.0986,0.6104,1443265
68ad6ece8fa4330d3d2c0d60,sit225/gyroscope,"{""gx"":-0.0610,""gy"":0.0000,""gz"":1.1597,""t_device_ms"":1444265}",2025-08-26T08:22:38.948059+00:00,-0.061,0.0,1.1597,1444265
68ad6ecf8fa4330d3d2c0d61,sit225/gyroscope,"{""gx"":0.8545,""gy"":1.8921,""gz"":-0.1221,""t_device_ms"":1445265}",2025-08-26T08:22:39.903292+00:00,0.8545,1.8921,-0.1221,1445265
68ad6ed08fa4330d3d2c0d62,sit225/gyroscope,"{""gx"":0.0610,""gy"":-0.3052,""gz"":0.7324,""t_device_ms"":1446265}",2025-08-26T08:22:40.906817+00:00,0.061,-0.3052,0.7324,1446265
68ad6ed18fa4330d3d2c0d63,sit225/gyroscope,"{""gx"":0.2441,""gy"":0.7324,""gz"":0.4883,""t_device_ms"":1447265}",2025-08-26T08:22:41.973800+00:00,0.2441,0.7324,0.4883,1447265
68ad6ed28fa4330d3d2c0d64,sit225/gyroscope,"{""gx"":-0.1221,""gy"":-0.2441,""gz"":0.4883,""t_device_ms"":1448265}",2025-08-26T08:22:42.901136+00:00,-0.1221,-0.2441,0.4883,1448265
68ad6ed38fa4330d3d2c0d65,sit225/gyroscope,"{""gx"":0.6714,""gy"":0.6714,""gz"":-0.9155,""t_device_ms"":1449265}",2025-08-26T08:22:43.995179+00:00,0.6714,0.6714,-0.9155,1449265
68ad6ed48fa4330d3d2c0d66,sit225/gyroscope,"{""gx"":-0.1221,""gy"":-0.3052,""gz"":-1.1597,""t_device_ms"":1450265}",2025-08-26T08:22:44.984626+00:00,-0.1221,-0.3052,-1.1597,1450265
68ad6ed58fa4330d3d2c0d67,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.5493,""gz"":-1.3428,""t_device_ms"":1451265}",2025-08-26T08:22:45.986326+00:00,0.1831,-0.5493,-1.3428,1451265
68ad6ed78fa4330d3d2c0d68,sit225/gyroscope,"{""gx"":-0.3052,""gy"":-0.6714,""gz"":-1.0376,""t_device_ms"":1452265}",2025-08-26T08:22:47.009686+00:00,-0.3052,-0.6714,-1.0376,1452265
68ad6ed88fa4330d3d2c0d69,sit225/gyroscope,"{""gx"":-0.5493,""gy"":-0.5493,""gz"":-0.7324,""t_device_ms"":1453265}",2025-08-26T08:22:48.087208+00:00,-0.5493,-0.5493,-0.7324,1453265
68ad6ed88fa4330d3d2c0d6a,sit225/gyroscope,"{""gx"":0.7935,""gy"":0.3052,""gz"":-0.4883,""t_device_ms"":1454265}",2025-08-26T08:22:48.913826+00:00,0.7935,0.3052,-0.4883,1454265
68ad6ed98fa4330d3d2c0d6b,sit225/gyroscope,"{""gx"":-0.1831,""gy"":-0.2441,""gz"":0.1831,""t_device_ms"":1455265}",2025-08-26T08:22:49.939566+00:00,-0.1831,-0.2441,0.1831,1455265
68ad6eda8fa4330d3d2c0d6c,sit225/gyroscope,"{""gx"":0.6104,""gy"":0.6104,""gz"":0.1831,""t_device_ms"":1456265}",2025-08-26T08:22:50.908327+00:00,0.6104,0.6104,0.1831,1456265
68ad6edb8fa4330d3d2c0d6d,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.0000,""gz"":0.9155,""t_device_ms"":1457265}",2025-08-26T08:22:51.968696+00:00,0.3662,0.0,0.9155,1457265
68ad6edc8fa4330d3d2c0d6e,sit225/gyroscope,"{""gx"":0.9766,""gy"":1.5869,""gz"":-0.0610,""t_device_ms"":1458265}",2025-08-26T08:22:52.984422+00:00,0.9766,1.5869,-0.061,1458265
68ad6edd8fa4330d3d2c0d6f,sit225/gyroscope,"{""gx"":-0.2441,""gy"":-0.4272,""gz"":0.8545,""t_device_ms"":1459265}",2025-08-26T08:22:53.989115+00:00,-0.2441,-0.4272,0.8545,1459265
68ad6ede8fa4330d3d2c0d70,sit225/gyroscope,"{""gx"":0.4272,""gy"":0.9155,""gz"":0.0000,""t_device_ms"":1460265}",2025-08-26T08:22:54.993734+00:00,0.4272,0.9155,0.0,1460265
68ad6edf8fa4330d3d2c0d71,sit225/gyroscope,"{""gx"":0.2441,""gy"":-0.1831,""gz"":-0.1221,""t_device_ms"":1461265}",2025-08-26T08:22:55.523978+00:00,0.2441,-0.1831,-0.1221,1461265
68ad6ee08fa4330d3d2c0d72,sit225/gyroscope,"{""gx"":0.1221,""gy"":-0.6714,""gz"":-0.5493,""t_device_ms"":1462265}",2025-08-26T08:22:56.837033+00:00,0.1221,-0.6714,-0.5493,1462265
68ad6ee28fa4330d3d2c0d73,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.5493,""gz"":-1.0376,""t_device_ms"":1463265}",2025-08-26T08:22:58.101575+00:00,0.3662,0.5493,-1.0376,1463265
